author,stars,comment
"v*****e",5,"Barang diterima dalam keadaan baik.. Kualiti terbaik... Pelembab tidak berminyak dan senang menyerap.... Saya dah cuba guna... Mungkin tak serasi dengan kulit saya.."
"akmllhfz",5,"Skin Suitability:i been using it for year Absorption:good  it suits me better especially the pink for the dark spot, but this time just wanna try the blue one"
"m*****a",5,"Skin Suitability:Good Absorption:Easy  Tq seller da selalu pakai dan beli xada apa lagi nak cakap"
"j*****8",5,"Very satisfied.  The quality is also very good.  Can buy with confidence.  Value for money. 👍👍👍👍👍谢谢卖家！很满意品质很好！有需要会再回购！"
"e*****6",5,"Absorption:good Skin Suitability:good  Repeat order. Good packaging! Best moisture ni, very light weight. Dan tak melekit pun. Good for my skin too! Dapat harga murah. Thanks seller & shoppee!"
"n*****a",5,"Texture:Soft Skin Type:Sensitif dan kering  Kulit saya jadi lembab. kurang gatal2. Sesuai dengan saya. Pengahantaran pun super laju."
"a*****a",5,"Skin Type:dry skin Absorption:fast absorb  Best pakai. Sejuk je kulit and tak kering lagi. Improve skin condition. Penghantaran laju. Thanks seller!"
"fiaezzati",5,"Skin Suitability:kering dan sensitif Effectiveness:berkesan untuk melembapkan  Penghantaran sangat pantas dan laju, dibalut dengan baik"
"liling12345",5,"am very satisfied with the item. The service attitude is very good. The item is not damaged. Thank you very much."
"e*****e",5,"Brg dh smpai dgn selamat penghantaran cepat servis terbaik packaging terbaik 👍🏻👍🏻👍🏻 terima kasih seller rider semoga dipermudah segala urusan dimurahkan rezki 👍🏻👍🏻👍🏻"
"s*****s",5,"Items received perfectly  Very fast service and delivery by seller  Highly recommended 👍👍👍👍👍"
"anggerik85",5,"Skin absorption:Sejuk, cepat meresap ke dalam kulit.."
"sabellabyani",5,"So far so good and suit my skin well. This one is my third purchase for this moisturizer. Very light and easy to absorb. Got it at cheaper price during live session."
"anisalimuddin",5,"Absorption:good Skin Suitability:good  Fast delivery, purchased when sale so tht got cheaper prices. Before this i buy the small one, now the big one !"
"m*****4",5,"Absorption:great Skin suitability:combination skin  I have used the brightening moisturiser of skintific before and the effect is good, now try this barrier repair one"
"g*****j",5,"Absorption:No feel sticky Skin suitability:Moisturize  Goods received Good product Recommend to try it"
"l*****e",5,"Skin Suitability:good Effectiveness:good  Light weight and moisturising, suitable for oily skin  thank you"
"r*****h",5,"Skin Suitability:oily / combination Absorption:easy to absorb  idk this one tub ke berapa but so so good pls buy n the delivery pun laju gells so recommend yalls"
"e*****a",5,"Skin Suitability:oeky Absorption:baik  Selalu pakai memang best la nie beli lagi sbb time promosi harga kaw2 murah mmg trbaik la"
"g*****a",5,"Cream is a good price has good ingredients but very light cream and have citrus, it dries very quickly might not be suitable for dry skin if u need deep moisturiser."
"cik_aimi",5,"Absorption:laju Skin Suitability:ok  Beli lagi. Sesuai dengan kulit. Sejuk je bila pakai. Kalau nak apply waktu tengah hari, letak jap 5 mnt kat freezer. Best! 🤭"
"s*****n",5,"Skin Suitability:perfect Effectiveness:good  Barang sampai dalam keadaan baik dan dibungkus dengan kemas"
"h*****n",5,"Barang sampai dalam keadaan baik , ta pecah ,ta retak, cepat seller hantar , tukang hantar pon ok , texture pon ok , ta melekit , cepat meresap dalam kulit ,"
"s*****r",5,"Skin Suitability:Suitable for sensitive skin Absorption:Very well absorb  Suit my skin. Doesn't leave sticky feeling. Got it on 9.9. Value for money. Good seller. Packed safely and fast delivery 👍"
"a*****a",5,"Barang selamat sampai 😁  1st time guna moisturizer ni my skin makin okay solve problem acne, redness & oily skin 🥰 Tq seller 👍"
"ameryllis",5,"Skin Suitability:sesuai untuk kulit berminyak sangat . Absorption:mudah meresap kulit terasa lembut dan lembap selepas sapu.  pembelian kali ke 2.. sesuai dengan kulit jenis berminyak sangat.. krim ni ja yang sesuai dengan kulit walaupun bngn tido kulit terasa moist & lembut berminyak sikit tapi tidak menyebabkan kulit berjerawat ."
"p*****a",5,"Skin Suitability:oily Absorption:fast  not try yet , hoping it works on my oily,sensitive and acne prone skin..tysm seller, received in a good condition"
"okudamiita123",5,"Absorption:good Skin Suitability:good  This moisturizer suits me really well, I’ve used it several times already and never had any issues. It makes my skin more hydrated and works great after using a face mask too."
"7*****6",5,"Skin Suitability:good Absorption:good  Good product quality  good value for money  fast delivery  thank you seller"
"z*****m",5,"Skin Suitability:normal Absorption:fast  Dah banyak kali try pakai moisturizer ni memang sangat best cepat absorbed kulit rasa lembut je and sometimes dapat buat base makeup juga hahaha apa pun thank youuu 😍"
"n*****2",5,"Absorption:fast Skin Suitability:good  Purchased with cheaper price during 11.11, buy 1 & get 4 items. Expiry date 2029."
"s*****9",5,"Absorption:quick absorption Skin suitability:suitable to my skin  suitable for my sensitive skin"
"fikrifariman",5,"Absorption:pakai waktu mlm Skin Suitability:good  Alhamdulillah brng slamat smpai dgn slmt, bungkusan bgus.. hantaran cepat cuma nk review jer lambat.. hehe.. pakai waktu mlm, sbb siang hr keje naik moto , tkut pakai nnti jerawat naik sbb kena habuk luar..  Nnti nk repeat lgi .."
"a*****_",5,"Suka moisturizer ni tak melekit, ringan and rasa soft and moist bila lepas pakai"
"actee",5,"Absorption:Baik Skin Suitability:Sesuai  Salam, setakat ni sy calit sikit kat kulit semua nya ok lgi. Keberkesanan tu x tau lagi sebab baru nak gune. Utk kulit sensitif anak saya."
"e*****a",5,"Effectiveness:good Skin Suitability:okay  Berbaloi2 beli time live seller. Jimat. Dah banyak kali repeat ssuai dgn muka"
"l*****i",5,"fast dilivery  paper quality is good and price is cheaper than shopping"
"sanida.82",5,"Barang sampai dalam keadaan baik Ridak rosak mahupun kemek Pembungkusan pun rapi Dapat harga murah pula tu  Thank you seller"
"rosmawati5459",5,"Moisture ni sgat sesuai dgn sya.. Sgat lembut n meresep dgn cepat. Thanks seller."
"l*****n",5,"Item in good condition, good packaging, worth the price, best service and fast delivery. Thank you seller!"
"e*****4",5,"Fast delivery and good packaging! Affordable price especially its large volumes"
"yunfung92",5,"Suitable for oily skin, calm down redness skin, fast delivery and thank you so much.🤗🥰🫰"
"izzimannanie",5,"Skin Suitability:very well Absorption:good  Tq dh sampai kali ketiga dah beli sgt bagus utk kulit"
